10 republican candidates 2016	10 republican candidates 2016	[10] [election.party] [election.candidateword] [election.date]	homepage	[10]|||[election.party]|||[election.candidateword]|||[election.date]	10|||republican|||candidates|||2016
16 gop candidates	16 gop candidates	[16] [election.party] [election.candidateword]	homepage	[16]|||[election.party]|||[election.candidateword]	16|||gop|||candidates
16 gop candidates for president	16 gop candidates for president	[16] [election.party] [election.candidateword] [for] [election.presidential]	homepage	[16]|||[election.party]|||[election.candidateword]|||[for]|||[election.presidential]	16|||gop|||candidates|||for|||president
2015 president candidates	2015 president candidates	[2015] [election.presidential] [election.candidateword]	homepage	[2015]|||[election.presidential]|||[election.candidateword]	2015|||president|||candidates
2016 announced republican presidential candidates	2016 announced republican presidential candidates	[election.date] [announced] [election.party] [election.presidential] [election.candidateword]	homepage	[election.date]|||[announced]|||[election.party]|||[election.presidential]|||[election.candidateword]	2016|||announced|||republican|||presidential|||candidates
2016 candidate comparison	2016 candidate comparison	[election.date] [election.candidateword] [election.compare]	bpihome	[election.date]|||[election.candidateword]|||[election.compare]	2016|||candidate|||comparison
2016 candidates views	2016 candidates views	[election.date] [election.candidateword] [election.views]	bpihome	[election.date]|||[election.candidateword]|||[election.views]	2016|||candidates|||views
2016 caucus schedule	2016 caucus schedule	[election.date] [election.primary] [election.timelineword]	primary.multipleprimaries	[election.date]|||[election.primary]|||[election.timelineword]	2016|||caucus|||schedule
2016 contenders for president	2016 contenders for president	[election.date] [election.candidateword] [for] [election.presidential]	homepage	[election.date]|||[election.candidateword]|||[for]|||[election.presidential]	2016|||contenders|||for|||president
2016 declared presidential candidates	2016 declared presidential candidates	[election.date] [declared] [election.presidential] [election.candidateword]	homepage	[election.date]|||[declared]|||[election.presidential]|||[election.candidateword]	2016|||declared|||presidential|||candidates
2016 declared republican presidential candidates	2016 declared republican presidential candidates	[election.date] [declared] [election.party] [election.presidential] [election.candidateword]	homepage	[election.date]|||[declared]|||[election.party]|||[election.presidential]|||[election.candidateword]	2016|||declared|||republican|||presidential|||candidates
2016 democratic presidential contenders	2016 democratic presidential contenders	[election.date] [election.party] [election.presidential] [election.candidateword]	homepage	[election.date]|||[election.party]|||[election.presidential]|||[election.candidateword]	2016|||democratic|||presidential|||contenders
2016 election campaign	2016 election campaign	[election.date] [election.election] [election.campaign]	homepage	[election.date]|||[election.election]|||[election.campaign]	2016|||election|||campaign
2016 election candidates list	2016 election candidates list	[election.date] [election.election] [election.candidateword]	homepage	[election.date]|||[election.election]|||[election.candidateword]	2016|||election|||candidates
2016 election days	2016 election days	[election.date] [election.election] [days]	homepage	[election.date]|||[election.election]|||[days]	2016|||election|||days
2016 election schedule	2016 election schedule	[election.date] [election.election] [election.timelineword]	timeline	[election.date]|||[election.election]|||[election.timelineword]	2016|||election|||schedule
2016 gop election	2016 gop election	[election.date] [election.party] [election.election]	homepage	[election.date]|||[election.party]|||[election.election]	2016|||gop|||election
2016 libertarian presidential candidates	2016 libertarian presidential candidates	[election.date] [libertarian] [election.presidential] [election.candidateword]	homepage	[election.date]|||[libertarian]|||[election.presidential]|||[election.candidateword]	2016|||libertarian|||presidential|||candidates
2016 national election	2016 national election	[election.date] [election.national] [election.election]	homepage	[election.date]|||[election.national]|||[election.election]	2016|||national|||election
2016 national elections	2016 national elections	[election.date] [election.national] [election.election]	homepage	[election.date]|||[election.national]|||[election.election]	2016|||national|||elections
2016 possible democratic candidates	2016 possible democratic candidates	[election.date] [possible] [election.party] [election.candidateword]	homepage	[election.date]|||[possible]|||[election.party]|||[election.candidateword]	2016|||possible|||democratic|||candidates
2016 presential canidates	2016 presential canidates	[election.date] [election.presidential] [election.candidateword]	homepage	[election.date]|||[election.presidential]|||[election.candidateword]	2016|||presidential|||candidates
2016 presidency candidates	2016 presidency candidates	[election.date] [election.presidential] [election.candidateword]	homepage	[election.date]|||[election.presidential]|||[election.candidateword]	2016|||presidency|||candidates
2016 presidentail canidates	2016 presidentail canidates	[election.date] [election.presidential] [election.candidateword]	homepage	[election.date]|||[election.presidential]|||[election.candidateword]	2016|||presidential|||candidates
2016 presidental run	2016 presidental run	[election.date] [election.presidential] [election.race]	homepage	[election.date]|||[election.presidential]|||[election.race]	2016|||presidential|||run
2016 presidential candidate leaders	2016 presidential candidate leaders	[election.date] [election.presidential] [election.candidateword] [leaders]	homepage	[election.date]|||[election.presidential]|||[election.candidateword]|||[leaders]	2016|||presidential|||candidate|||leaders
2016 presidential candidates	2016 presidential candidates	[election.date] [election.presidential] [election.candidateword]	homepage	[election.date]|||[election.presidential]|||[election.candidateword]	2016|||presidential|||candidates
2016 presidential candidates and views	2016 presidential candidates and views	[election.date] [election.presidential] [election.candidateword] [election.views]	bpihome	[election.date]|||[election.presidential]|||[election.candidateword]|||[election.views]	2016|||presidential|||candidates|||views
2016 presidential candidates front runners	2016 presidential candidates front runners	[election.date] [election.presidential] [election.candidateword] [front] [election.candidateword]	homepage	[election.date]|||[election.presidential]|||[election.candidateword]|||[front]|||[election.candidateword]	2016|||presidential|||candidates|||front|||runners
2016 presidential candidates spectrum	2016 presidential candidates spectrum	[election.date] [election.presidential] [election.candidateword] [spectrum]	homepage	[election.date]|||[election.presidential]|||[election.candidateword]|||[spectrum]	2016|||presidential|||candidates|||spectrum
2016 presidential candidates survey	2016 presidential candidates survey	[election.date] [election.presidential] [election.candidateword] [survey]	homepage	[election.date]|||[election.presidential]|||[election.candidateword]|||[survey]	2016|||presidential|||candidates|||survey
2016 presidential candidates united states	2016 presidential candidates united states	[election.date] [election.presidential] [election.candidateword] [election.national]	homepage	[election.date]|||[election.presidential]|||[election.candidateword]|||[election.national]	2016|||presidential|||candidates|||united states
2016 presidential candidates voting records	2016 presidential candidates voting records	[election.date] [election.presidential] [election.candidateword] [election.voting] [records]	homepage	[election.date]|||[election.presidential]|||[election.candidateword]|||[election.voting]|||[records]	2016|||presidential|||candidates|||voting|||records
2016 presidential election	2016 presidential election	[election.date] [election.presidential] [election.election]	homepage	[election.date]|||[election.presidential]|||[election.election]	2016|||presidential|||election
2016 presidential election articles	2016 presidential election articles	[election.date] [election.presidential] [election.election] [articles]	homepage	[election.date]|||[election.presidential]|||[election.election]|||[articles]	2016|||presidential|||election|||articles
2016 presidential race	2016 presidential race	[election.date] [election.presidential] [election.race]	homepage	[election.date]|||[election.presidential]|||[election.race]	2016|||presidential|||race
2016 presidential republican candidates	2016 presidential republican candidates	[election.date] [election.presidential] [election.party] [election.candidateword]	homepage	[election.date]|||[election.presidential]|||[election.party]|||[election.candidateword]	2016|||presidential|||republican|||candidates
2016 presidential vote	2016 presidential vote	[election.date] [election.presidential] [election.voting]	homepage	[election.date]|||[election.presidential]|||[election.voting]	2016|||presidential|||vote
2016 presidents running	2016 presidents running	[election.date] [election.presidential] [election.race]	homepage	[election.date]|||[election.presidential]|||[election.race]	2016|||presidents|||running
2016 primaries date	2016 primaries date	[election.date] [election.primary] [election.dateword]	primary.multipleprimaries	[election.date]|||[election.primary]|||[election.dateword]	2016|||primaries|||date
2016 rep pres candidates	2016 rep pres candidates	[election.date] [rep] [election.presidential] [election.candidateword]	homepage	[election.date]|||[rep]|||[election.presidential]|||[election.candidateword]	2016|||rep|||pres|||candidates
2016 republican candidates issues comparison chart	2016 republican candidates issues comparison chart	[election.date] [election.party] [election.candidateword] [election.issueword] [election.compare] [chart]	bpihome	[election.date]|||[election.party]|||[election.candidateword]|||[election.issueword]|||[election.compare]|||[chart]	2016|||republican|||candidates|||issues|||comparison|||chart
2016 republican candidates military service	2016 republican candidates military service	[election.date] [election.party] [election.candidateword] [military] [service]	homepage	[election.date]|||[election.party]|||[election.candidateword]|||[military]|||[service]	2016|||republican|||candidates|||military|||service
2016 republican candidates president	2016 republican candidates president	[election.date] [election.party] [election.candidateword] [election.presidential]	homepage	[election.date]|||[election.party]|||[election.candidateword]|||[election.presidential]	2016|||republican|||candidates|||president
2016 republican contenders	2016 republican contenders	[election.date] [election.party] [election.candidateword]	homepage	[election.date]|||[election.party]|||[election.candidateword]	2016|||republican|||contenders
2016 republican pres candidates	2016 republican pres candidates	[election.date] [election.party] [election.presidential] [election.candidateword]	homepage	[election.date]|||[election.party]|||[election.presidential]|||[election.candidateword]	2016|||republican|||pres|||candidates
2016 republican president candidates	2016 republican president candidates	[election.date] [election.party] [election.presidential] [election.candidateword]	homepage	[election.date]|||[election.party]|||[election.presidential]|||[election.candidateword]	2016|||republican|||presidential|||candidates
2016 republican running for president	2016 republican running for president	[election.date] [election.party] [election.race] [for] [election.presidential]	homepage	[election.date]|||[election.party]|||[election.race]|||[for]|||[election.presidential]	2016|||republican|||running|||for|||president
2016 runners for president	2016 runners for president	[election.date] [election.candidateword] [for] [election.presidential]	homepage	[election.date]|||[election.candidateword]|||[for]|||[election.presidential]	2016|||runners|||for|||president
2016 top republican candidates	2016 top republican candidates	[election.date] [top] [election.party] [election.candidateword]	homepage	[election.date]|||[top]|||[election.party]|||[election.candidateword]	2016|||top|||republican|||candidates
2016 us presidential candidates list	2016 us presidential candidates list	[election.date] [election.national] [election.presidential] [election.candidateword]	homepage	[election.date]|||[election.national]|||[election.presidential]|||[election.candidateword]	2016|||us|||presidential|||candidates
2016 us presidential election republican	2016 us presidential election republican	[election.date] [election.national] [election.presidential] [election.election] [election.party]	homepage	[election.date]|||[election.national]|||[election.presidential]|||[election.election]|||[election.party]	2016|||us|||presidential|||election|||republican
2106 republican presidential candidates	2106 republican presidential candidates	[2106] [election.party] [election.presidential] [election.candidateword]	homepage	[2106]|||[election.party]|||[election.presidential]|||[election.candidateword]	2106|||republican|||presidential|||candidates
about the 2016 presidential candidates	about the 2016 presidential candidates	[about] [the] [election.date] [election.presidential] [election.candidateword]	homepage	[about]|||[the]|||[election.date]|||[election.presidential]|||[election.candidateword]	about|||the|||2016|||presidential|||candidates
about the republican candidates	about the republican candidates	[about] [the] [election.party] [election.candidateword]	homepage	[about]|||[the]|||[election.party]|||[election.candidateword]	about|||the|||republican|||candidates
all 2016 republican candidates	all 2016 republican candidates	[election.date] [election.party] [election.candidateword]	homepage	[election.date]|||[election.party]|||[election.candidateword]	2016|||republican|||candidates
all presidential candidates 2016	all presidential candidates 2016	[election.presidential] [election.candidateword] [election.date]	homepage	[election.presidential]|||[election.candidateword]|||[election.date]	presidential|||candidates|||2016
american presidential candidates	american presidential candidates	[election.national] [election.presidential] [election.candidateword]	homepage	[election.national]|||[election.presidential]|||[election.candidateword]	american|||presidential|||candidates
arly fiorina	arly fiorina	[election.candidate.highconf]	primary.multipleprimaries	[election.candidate.highconf]	carly fiorina
background of marco rubio	background of marco rubio	[election.infoword] [election.candidate.highconf]	candidate.infopage	[election.infoword]|||[election.candidate.highconf]	background|||marco rubio
ben carson	ben carson	[election.candidate.highconf]	primary.multipleprimaries	[election.candidate.highconf]	ben carson
ben carson 2015 schedule	ben carson 2015 schedule	[election.candidate.highconf] [2015] [election.timelineword]	candidate.timeline	[election.candidate.highconf]|||[2015]|||[election.timelineword]	ben carson|||2015|||schedule
ben carson and muslim president	ben carson and muslim president	[election.candidate] [and] [election.issues] [election.presidential]	candidate.bpi	[election.candidate]|||[and]|||[election.issues]|||[election.presidential]	ben carson|||and|||muslim|||president
ben carson announces run for president	ben carson announces run for president	[election.candidate] [announces] [election.race] [for] [election.presidential]	primary.multipleprimaries	[election.candidate]|||[announces]|||[election.race]|||[for]|||[election.presidential]	ben carson|||announces|||run|||for|||president
ben carson background information	ben carson background information	[election.candidate.highconf] [election.infoword]	candidate.infopage	[election.candidate.highconf]|||[election.infoword]	ben carson|||background information
ben carson biography religion	ben carson biography religion	[election.candidate.highconf] [election.candidatehistory] [religion]	candidate.timeline	[election.candidate.highconf]|||[election.candidatehistory]|||[religion]	ben carson|||biography|||religion
ben carson campaign manager	ben carson campaign manager	[election.candidate.highconf] [election.campaign] [manager]	candidate.infopage	[election.candidate.highconf]|||[election.campaign]|||[manager]	ben carson|||campaign|||manager
ben carson campaign store	ben carson campaign store	[election.candidate.highconf] [election.campaign] [store]	candidate.infopage	[election.candidate.highconf]|||[election.campaign]|||[store]	ben carson|||campaign|||store
ben carson childhood biography	ben carson childhood biography	[election.candidate.highconf] [election.candidatehistory] [election.candidatehistory]	candidate.timeline	[election.candidate.highconf]|||[election.candidatehistory]|||[election.candidatehistory]	ben carson|||childhood|||biography
